id,brand,colorway,estimatedMarketValue,gender,small_image_url,original_image_url,thumbnail_image_url,goat_link,stockx_link,flightclub_link,stadiumgoods_link,name,releaseYear,retailPrice,silhouette,sku,story,UID
3356,ASICS,Black/White/Gum,90.00,men,false,[],[],,https://stockx.com/asics-gel-vickka-pro-black-white-gum,,,"ASICS Gel-Vickka Pro Black White Gum",2023,90.00,"ASICS Gel-Vickka Pro",1201A196-001,,b734292f-178e-426f-9603-93109549a4f8
3357,ASICS,"Cream/Shamrock Green",90.00,men,true,[],[],,https://stockx.com/asics-aaron-pro-cream-shamrock-green,,,"ASICS Aaron Pro Cream Shamrock Green",2023,90.00,"ASICS Aaron Pro",1201A570-100,,ceacc3db-f9d0-404c-be10-3d0285db88c3
3358,ASICS,Cream/White,110.00,men,true,[],[],,https://stockx.com/asics-japan-pro-cream-white,,,"ASICS Japan Pro Cream White",2023,110.00,"ASICS Japan Pro",1201A920-100,,d02794c5-f50c-497c-8614-b0ddfa0c2251
3359,ASICS,Black/White,90.00,men,false,[],[],,https://stockx.com/asics-gel-vickka-pro-black-white,,,"ASICS Gel-Vickka Pro Black White",2023,90.00,"ASICS Gel-Vickka Pro",1201A486-002,,d0fc23a8-a94d-4974-8f79-10df99d80b9a
3360,ASICS,"Gentry Purple/Ivory",90.00,men,false,[],[],,https://stockx.com/asics-aaron-pro-gentry-purple,,,"ASICS Aaron Pro Gentry Purple",2023,90.00,"ASICS Aaron Pro",1201A570-500,,d778e791-defa-4dca-a339-3c6dd943e771
3361,ASICS,Ironclad/White,90.00,men,true,[],[],,https://stockx.com/asics-gel-vickka-pro-ironclad,,,"ASICS Gel-Vickka Pro Ironclad",2023,90.00,"ASICS Gel-Vickka Pro",1201A486-020,,fef49133-475c-4e2b-8ffc-f8ab038ab7a5
3362,ASICS,Black/White,137.00,youth,https://image.goat.com/750/attachments/product_template_pictures/images/090/654/850/original/1084A011_001.png.png,https://image.goat.com/attachments/product_template_pictures/images/090/654/850/original/1084A011_001.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/090/654/850/original/1084A011_001.png.png,https://goat.com/sneakers/matflex-7-gs-black-white-gum-1084a011-001,,https://flightclub.com/matflex-7-gs-black-white-gum-1084a011-001,,"Matflex 7 GS 'Black White Gum'",2023,55.00,Matflex,1084A011-001,,b444aae9-c81d-45cc-b157-f111d193f075
3363,ASICS,"French Blue/White",137.00,youth,https://image.goat.com/750/attachments/product_template_pictures/images/090/654/849/original/1084A009_403.png.png,https://image.goat.com/attachments/product_template_pictures/images/090/654/849/original/1084A009_403.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/090/654/849/original/1084A009_403.png.png,https://goat.com/sneakers/snapdown-3-gs-french-blue-white-1084a009-403,,https://flightclub.com/snapdown-3-gs-french-blue-white-1084a009-403,,"Snapdown 3 GS 'French Blue White'",2023,65.00,"Snapdown 3",1084A009-403,,deb98ebc-f955-4faa-88a7-3bc31ec21fad
3364,ASICS,,200.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/090/279/604/original/CNCPTS_GL5_LIBERTEA.png.png,https://image.goat.com/attachments/product_template_pictures/images/090/279/604/original/CNCPTS_GL5_LIBERTEA.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/090/279/604/original/CNCPTS_GL5_LIBERTEA.png.png,https://goat.com/sneakers/concepts-x-gel-lyte-5-libertea-cncpts-gl5-libertea,,https://flightclub.com/concepts-x-gel-lyte-5-libertea-cncpts-gl5-libertea,,"Concepts x Gel Lyte 5 'Libertea'",2023,150.00,"Gel Lyte 5",CNCPTS-GL5-LIBERTEA,,0cc8e58d-8743-4d23-a5ff-999e46499796
3365,ASICS,"Papyrus/Pure Silver",99.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/090/713/357/original/1236584_00.png.png,https://image.goat.com/attachments/product_template_pictures/images/090/713/357/original/1236584_00.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/090/713/357/original/1236584_00.png.png,https://goat.com/sneakers/concepts-x-gel-lyte-5-libertea-cncpts-gl5-libertea,https://stockx.com/asics-gel-lyte-v-concepts-libertea,https://flightclub.com/concepts-x-gel-lyte-5-libertea-cncpts-gl5-libertea,,"ASICS Gel-Lyte V Concepts Libertea",2023,150.00,"Gel Lyte 5",1201A943-100,"The Concepts x ASICS Gel Lyte 5 ‘Libertea’ showcases a patriotic palette celebrating the 30th anniversary of the lifestyle running shoe. Inspired by Concepts’ ‘Boston Tea Party’ Gel Lyte 3 from 2015, the color-blocked suede upper combines an off-white forefoot with a crimson heel, alongside contrasting navy accents on the tongue, collar and eyestay. The right side of each shoe pairs metallic gold side stripes with a red mesh backdrop, while the opposite side features metallic silver side stripes and navy mesh paneling. Lightweight cushioning is provided by a white EVA midsole, enlivened with a splash of scarlet along the heel.",4810d052-b2fa-4573-b7b0-5a4b767266ae
